Country,Weight,Emission 
Iceland ,0.21,0.000193484
Norway,0.87,0.002240278
Sweden,0.03,0.023033883
Finland,0.04,0.225457295
UK,0.1,0.508501975
Portugal,0.01,0.400151316
Spain,0.03,0.34287509
France,0.15,0.070927465
Italy,0.05,0.410898038
Switzerland,0.04,0.003177437
Germany,0.48,0.672220452
Netherlands,0.14,0.413302564
Estonia,0.03,1.906907035
Latvia,0.02,0.192071871
Lithuania,0.02,0.115934959
Belarus,0.01,0.610873739
Poland,0.02,1.1961255
Ukraine,0.24,0.56313293
Moldova,0.02,0.637194856
Romania,0.04,1.069422796
Bulgaria,0.02,1.166008316
Macedonia,0.05,1.9406436
Greece,0.02,1.921092777
Albiania,0.01,0.009130088
Czech Republic,0.02,0.93846226
Slovakia,0.01,0.282995496
Austria,0.01,0.176796609
Bosnia,0.01,1.32624734
Serbia,0.01,1.548567819
Libia,0.6,0.919629046
Hungary,0.01,0.589672564
