,date,difficulty,hashrate,price,revenue
1,01/01/2017,3.17688E+11,2463610.662,964.84,1970085.325
2,02/01/2017,3.17688E+11,2526780.166,997.36,2138666.021
3,03/01/2017,3.17688E+11,2589949.671,1013.42,2245225.092
4,04/01/2017,3.17688E+11,2432025.91,1037.83,2332472.035
5,05/01/2017,3.17688E+11,2210932.646,1109.16,2009800.815
6,06/01/2017,3.17688E+11,2542572.542,999.65,1998357.991
7,07/01/2017,3.17688E+11,2195140.27,891.95,1591509.292
8,08/01/2017,3.17688E+11,2637326.799,906.16,1990960.486
9,09/01/2017,3.17688E+11,2147763.141,910.49,1630568.18
10,10/01/2017,3.19489E+11,2679581.84,896.92,1939796.81
11,11/01/2017,3.369E+11,2562350.134,903.66,1724412.855
12,12/01/2017,3.369E+11,2897297.864,780.92,1782924.467
13,13/01/2017,3.369E+11,2528855.361,805.52,1590739.039
14,14/01/2017,3.369E+11,2880550.478,825,1922419.877
15,15/01/2017,3.369E+11,2796813.545,819.55,1759094.941
16,16/01/2017,3.369E+11,2830308.318,822.01,1890860.272
17,17/01/2017,3.369E+11,2646087.067,830.56,1911475.34
18,18/01/2017,3.369E+11,2528855.361,906.6,1743249.948
19,19/01/2017,3.369E+11,2914045.251,885.44,2054585.923
20,20/01/2017,3.369E+11,3165256.048,903.1,2264569.902
21,21/01/2017,3.369E+11,3031276.956,895.64,2201839.33
22,22/01/2017,3.39478E+11,3398969.892,921.99,2075068.613
23,23/01/2017,3.92963E+11,2715269.052,922.33,1683925.096
24,24/01/2017,3.92963E+11,2910612.149,919.97,1810841.27
25,25/01/2017,3.92963E+11,2930146.459,883.59,1783698.257
26,26/01/2017,3.92963E+11,3066886.627,893.14,1864867.309
27,27/01/2017,3.92963E+11,3320832.653,915.05,2050038.681
28,28/01/2017,3.92963E+11,2969215.078,918.01,1879276.997
29,29/01/2017,3.92963E+11,3262229.724,918.62,2072803.26
30,30/01/2017,3.92963E+11,2852009.22,912.19,1795537.905
31,31/01/2017,3.92963E+11,2832474.91,920,1941511.115
32,01/02/2017,3.92963E+11,3750587.467,964.1,2481667.385
33,02/02/2017,3.92963E+11,3066886.627,983.42,2186504.055
34,03/02/2017,3.92963E+11,2910612.149,1008.67,2050478.543
35,04/02/2017,3.93568E+11,3043000.843,1015.65,1975355.921
36,05/02/2017,4.22171E+11,3336807.821,1034.07,2203638.314
37,06/02/2017,4.22171E+11,2623276.589,1011.08,1757705.557
38,07/02/2017,4.22171E+11,3168918.119,1023.96,2175238.105
39,08/02/2017,4.22171E+11,3063987.056,1052.84,2085023.019
40,09/02/2017,4.22171E+11,3546669.948,1050.7,2395178.568
41,10/02/2017,4.22171E+11,3105959.481,985.34,1972446.177
42,11/02/2017,4.22171E+11,2917083.567,997.59,1853403.108
43,12/02/2017,4.22171E+11,2959055.992,1012.46,1849457.278
44,13/02/2017,4.22171E+11,3420752.672,1000.74,2178384.199
45,14/02/2017,4.22171E+11,3546669.948,1001.2,2357500.757
46,15/02/2017,4.22171E+11,2917083.567,1007.08,1906440.004
47,16/02/2017,4.22171E+11,3189904.332,1011.25,2102990.202
48,17/02/2017,4.22171E+11,3168918.119,1035.2,2146125.844
49,18/02/2017,4.32944E+11,3330515.744,1054.55,2210588.074
50,19/02/2017,4.4078E+11,2936112.564,1056,2008419.457
51,20/02/2017,4.4078E+11,3242870.593,1050.87,2148454.967
52,21/02/2017,4.4078E+11,3023757.715,1084.06,2107035.344
53,22/02/2017,4.4078E+11,3045669.003,1125,2152117.275
54,23/02/2017,4.4078E+11,3286693.168,1130.01,2411188.068
55,24/02/2017,4.4078E+11,3637273.773,1187.41,2699193.338
56,25/02/2017,4.4078E+11,3659185.061,1180.14,2897863.037
57,26/02/2017,4.4078E+11,3900209.227,1150.37,2837916.158
58,27/02/2017,4.4078E+11,3155225.442,1180.46,2365572.169
59,28/02/2017,4.4078E+11,3352427.032,1194.17,2548889.197
60,01/03/2017,4.4078E+11,3155225.442,1190.89,2448421.999
61,02/03/2017,4.4078E+11,3440072.183,1224.98,2775953.239
62,03/03/2017,4.45546E+11,3458650.323,1257.6,2741612.926
63,04/03/2017,4.60769E+11,3069265.85,1287,2424004.591
64,05/03/2017,4.60769E+11,3367030.447,1262.2,2599170.734
65,06/03/2017,4.60769E+11,3252505.602,1271.04,2635445.798
66,07/03/2017,4.60769E+11,3504460.261,1279.5,2870767.753
67,08/03/2017,4.60769E+11,3252505.602,1233.88,2442222.938
68,09/03/2017,4.60769E+11,3389935.416,1155.11,2451454.03
69,10/03/2017,4.60769E+11,3573175.168,1192.09,2659880.948
70,11/03/2017,4.60769E+11,3412840.385,1104.94,2432383.774
71,12/03/2017,4.60769E+11,3550270.199,1176.59,2573064.173
72,13/03/2017,4.60769E+11,3321220.509,1227.68,2616524.973
73,14/03/2017,4.60769E+11,3573175.168,1240.72,2813129.111
74,15/03/2017,4.60769E+11,3252505.602,1246.72,2585616.414
75,16/03/2017,4.60769E+11,3504460.261,1257,2731477.731
76,17/03/2017,4.69886E+11,3641704.837,1170.2,2500138.202
77,18/03/2017,4.75705E+11,3712647.139,1068.3,2307093.257
78,19/03/2017,4.75705E+11,3925474.045,967.69,2330150.157
79,20/03/2017,4.75705E+11,3216051.025,1010.99,2014133.751
80,21/03/2017,4.75705E+11,3357935.629,1031.5,2221575.561
81,22/03/2017,4.75705E+11,3807236.875,1113,2425381.945
82,23/03/2017,4.75705E+11,3499820.233,1030.2,2160694.826
83,24/03/2017,4.75705E+11,4161948.385,1029.99,2405463.763
84,25/03/2017,4.75705E+11,3145108.723,927.93,1714220.762
85,26/03/2017,4.75705E+11,3925474.045,961.81,2211048.928
86,27/03/2017,4.75705E+11,3121461.289,959.47,1843886.294
87,28/03/2017,4.75705E+11,3665352.271,1041.04,2264423.985
88,29/03/2017,4.75705E+11,3263345.893,1042.77,2063813.439
89,30/03/2017,4.82855E+11,4073274.033,1039.77,2413075.132
90,31/03/2017,4.99636E+11,3352999.966,1034.74,2209101.935
91,01/04/2017,4.99636E+11,3278488.856,1073.09,2025106.759
92,02/04/2017,4.99636E+11,3924251.812,1082.81,2378690.407
93,03/04/2017,4.99636E+11,4371318.475,1079.99,2916926.023
94,04/04/2017,4.99636E+11,3104629.598,1146.98,2045569.045
95,05/04/2017,4.99636E+11,4023599.96,1141.23,2673677.81
96,06/04/2017,4.99636E+11,3651044.408,1133.53,2432718.259
97,07/04/2017,4.99636E+11,4023599.96,1193.73,2835523.669
98,08/04/2017,4.99636E+11,3402674.04,1190.22,2302445.271
99,09/04/2017,4.99636E+11,3949088.849,1184.03,2639028.48
100,10/04/2017,4.99636E+11,3675881.445,1206.18,2501424.11
101,11/04/2017,4.99636E+11,4147785.144,1209.99,2847416.315
102,12/04/2017,4.99636E+11,3526859.224,1219.09,2459161.238
103,13/04/2017,5.17808E+11,3287972.007,1212.17,2152057.91
104,14/04/2017,5.20809E+11,3598646.527,1174.43,2375849.278
